seller_name,seller_sku,daily_sales_sku,sellerboard_date
banbaloo,5Y-8TNB-GV76,,2019-09-09
banbaloo,5Y-8TNB-GV76,74.25,2019-09-30
banbaloo,5Y-8TNB-GV76,123.68,2019-10-01
banbaloo,5Y-8TNB-GV76,49.5,2019-10-02
banbaloo,5Y-8TNB-GV76,272.19,2019-10-03
banbaloo,5Y-8TNB-GV76,148.5,2019-10-04
banbaloo,5Y-8TNB-GV76,74.2,2019-10-05
banbaloo,5Y-8TNB-GV76,321.64,2019-10-06
banbaloo,5Y-8TNB-GV76,123.75,2019-10-07
banbaloo,5Y-8TNB-GV76,123.72,2019-10-08
banbaloo,5Y-8TNB-GV76,173.17,2019-10-09
banbaloo,5Y-8TNB-GV76,197.98,2019-10-10
banbaloo,5Y-8TNB-GV76,272.23,2019-10-11
banbaloo,5Y-8TNB-GV76,247.34,2019-10-12
banbaloo,5Y-8TNB-GV76,198,2019-10-13
banbaloo,5Y-8TNB-GV76,272.2,2019-10-14
banbaloo,5Y-8TNB-GV76,173.18,2019-10-15
banbaloo,5Y-8TNB-GV76,74.24,2019-10-16
banbaloo,5Y-8TNB-GV76,123.75,2019-10-17
banbaloo,5Y-8TNB-GV76,148.44,2019-10-18
banbaloo,5Y-8TNB-GV76,272.16,2019-10-19
banbaloo,5Y-8TNB-GV76,148.43,2019-10-20
banbaloo,5Y-8TNB-GV76,197.97,2019-10-21
banbaloo,5Y-8TNB-GV76,296.83,2019-10-22
banbaloo,5Y-8TNB-GV76,123.7,2019-10-23
banbaloo,5Y-8TNB-GV76,99,2019-10-24
banbaloo,5Y-8TNB-GV76,49.42,2019-10-25
banbaloo,5Y-8TNB-GV76,222.75,2019-10-26
banbaloo,5Y-8TNB-GV76,272.18,2019-10-27
banbaloo,5Y-8TNB-GV76,296.96,2019-10-28
banbaloo,5Y-8TNB-GV76,197.92,2019-10-29
banbaloo,5Y-8TNB-GV76,247.45,2019-10-30
banbaloo,5Y-8TNB-GV76,202.15,2019-10-31
banbaloo,5Y-8TNB-GV76,144.36,2019-11-01
banbaloo,5Y-8TNB-GV76,173.28,2019-11-02
banbaloo,5Y-8TNB-GV76,115.48,2019-11-03
banbaloo,5Y-8TNB-GV76,137.06,2019-11-04
banbaloo,5Y-8TNB-GV76,158.64,2019-11-05
banbaloo,5Y-8TNB-GV76,211.42,2019-11-06
banbaloo,5Y-8TNB-GV76,264.29,2019-11-07
banbaloo,5Y-8TNB-GV76,184.98,2019-11-08
banbaloo,5Y-8TNB-GV76,211.43,2019-11-09
banbaloo,5Y-8TNB-GV76,185.07,2019-11-10
banbaloo,5Y-8TNB-GV76,343.63,2019-11-11
banbaloo,5Y-8TNB-GV76,211.4,2019-11-12
banbaloo,5Y-8TNB-GV76,211.52,2019-11-13
banbaloo,5Y-8TNB-GV76,211.44,2019-11-14
banbaloo,5Y-8TNB-GV76,158.58,2019-11-15
banbaloo,5Y-8TNB-GV76,158.62,2019-11-16
banbaloo,5Y-8TNB-GV76,343.62,2019-11-17
banbaloo,5Y-8TNB-GV76,343.58,2019-11-18
banbaloo,5Y-8TNB-GV76,237.85,2019-11-19
banbaloo,5Y-8TNB-GV76,211.43,2019-11-20
banbaloo,5Y-8TNB-GV76,290.67,2019-11-21
banbaloo,5Y-8TNB-GV76,317.16,2019-11-22
banbaloo,5Y-8TNB-GV76,132.14,2019-11-23
banbaloo,5Y-8TNB-GV76,343.66,2019-11-24
banbaloo,5Y-8TNB-GV76,317.19,2019-11-25
banbaloo,5Y-8TNB-GV76,132.18,2019-11-26
banbaloo,5Y-8TNB-GV76,396.38,2019-11-27
banbaloo,5Y-8TNB-GV76,343.65,2019-11-28
banbaloo,5Y-8TNB-GV76,396.47,2019-11-29
banbaloo,5Y-8TNB-GV76,158.52,2019-11-30
banbaloo,5Y-8TNB-GV76,396.36,2019-12-01
banbaloo,5Y-8TNB-GV76,237.9,2019-12-02
banbaloo,5Y-8TNB-GV76,343.54,2019-12-03
banbaloo,5Y-8TNB-GV76,290.67,2019-12-04
banbaloo,5Y-8TNB-GV76,184.9,2019-12-05
banbaloo,5Y-8TNB-GV76,158.58,2019-12-06
banbaloo,5Y-8TNB-GV76,158.63,2019-12-07
