seller_name,seller_region,amazon_domain,country_code,sellerboard_date,week_date,month_date,seller_sku,asin,brand,local_currency,daily_sales_sku_local_currency,currency_code,daily_sales_sku,qty_sku,weekly_sales_sku,weekly_qty_sku,monthly_sales_sku,monthly_qty_sku,mtd_sales_sku,mtd_qty_sku,ytd_sales_sku,ytd_qty_sku,rolling_7d_sales_sku,rolling_7d_qty_sku,rolling_28d_sales_sku,rolling_28d_qty_sku,rolling_365d_sales_sku,rolling_365d_qty_sku,daily_cogs_sku,weekly_cogs_sku,monthly_cogs_sku,mtd_cogs_sku,ytd_cogs_sku,rolling_7d_cogs_sku,rolling_28d_cogs_sku,rolling_365d_cogs_sku,daily_refunds_sku,weekly_refunds_sku,monthly_refunds_sku,mtd_refunds_sku,ytd_refunds_sku,rolling_7d_refunds_sku,rolling_28d_refunds_sku,rolling_365d_refunds_sku,daily_selling_fees_sku,weekly_selling_fees_sku,monthly_selling_fees_sku,mtd_selling_fees_sku,ytd_selling_fees_sku,rolling_7d_selling_fees_sku,rolling_28d_selling_fees_sku,rolling_365d_selling_fees_sku,daily_fba_order_fees_sku,weekly_fba_order_fees_sku,monthly_fba_order_fees_sku,mtd_fba_order_fees_sku,ytd_fba_order_fees_sku,rolling_7d_fba_order_fees_sku,rolling_28d_fba_order_fees_sku,rolling_365d_fba_order_fees_sku,daily_fba_service_fees_sku,weekly_fba_service_fees_sku,monthly_fba_service_fees_sku,mtd_fba_service_fees_sku,ytd_fba_service_fees_sku,rolling_7d_fba_service_fees_sku,rolling_28d_fba_service_fees_sku,rolling_365d_fba_service_fees_sku,daily_warehouse_adjustments_sku,weekly_warehouse_adjustments_sku,monthly_warehouse_adjustments_sku,mtd_warehouse_adjustments_sku,ytd_warehouse_adjustments_sku,rolling_7d_warehouse_adjustments_sku,rolling_28d_warehouse_adjustments_sku,rolling_365d_warehouse_adjustments_sku,daily_advertising_sku,weekly_advertising_sku,monthly_advertising_sku,mtd_advertising_sku,ytd_advertising_sku,rolling_7d_advertising_sku,rolling_28d_advertising_sku,rolling_365d_advertising_sku,daily_others_sku,weekly_others_sku,monthly_others_sku,mtd_others_sku,ytd_others_sku,rolling_7d_others_sku,rolling_28d_others_sku,rolling_365d_others_sku,daily_sde_sku,weekly_sde_sku,monthly_sde_sku,mtd_sde_sku,ytd_sde_sku,rolling_7d_sde_sku,rolling_28d_sde_sku,rolling_365d_sde_sku
banbaloo,eu,amazon.de,de,2022-03-16,2022-11,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,,EUR,,,1210.16,36,8536.54,254,8536.54,254,48524.39,1444,3730.44,111,14911.84,444,171431.88,5094,,-300.96,-2123.44,-2123.44,-12071.84,-927.96,-3711.84,-42585.84,-57.49,-143.92,-573.79,-573.79,-3638.94,-229.71,-1091.9,-11551.9,,-216.4,-1522.92,-1522.92,-8657.74,-666.14,-2660.33,-30456.54,,-121.68,-858.52,-858.52,-4880.72,-375.18,-1500.72,-17062.8,,,-103.46,-103.46,-333.32,,-104.43,-1016.18,,,15.87,15.87,64.71,,15.87,384.28,,-129.72,-842.19,-842.19,-5238.88,-356.53,-1494.02,-13623.55,,-6.23,-42.24,-42.24,-223.15,-18.92,-80.05,-223.15,-57.49,291.25,2485.85,2485.85,13544.51,1156,4284.42,55296.2
banbaloo,eu,amazon.de,de,2022-03-15,2022-11,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,604.9,EUR,604.9,18,1210.16,36,8536.54,254,8536.54,254,48524.39,1444,4100.14,122,15483.21,461,171867.71,5107,-150.48,-300.96,-2123.44,-2123.44,-12071.84,-1019.92,-3853.96,-42694.52,-57.62,-143.92,-573.79,-516.3,-3581.45,-315.59,-1091.99,-11494.41,-108.15,-216.4,-1522.92,-1522.92,-8657.74,-731.18,-2762.43,-30534.54,-60.84,-121.68,-858.52,-858.52,-4880.72,-412.36,-1558.18,-17104.66,,,-103.46,-103.46,-333.32,,-104.43,-1016.18,,,15.87,15.87,64.71,15.87,15.87,384.28,-94.25,-129.72,-842.19,-842.19,-5238.88,-388.21,-1545.16,-13634.09,-4.1,-6.23,-42.24,-42.24,-223.15,-20.62,-82.61,-223.15,129.46,291.25,2485.85,2543.34,13602,1228.13,4500.32,55550.44
banbaloo,eu,amazon.de,de,2022-03-14,2022-11,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,605.26,EUR,605.26,18,1210.16,36,8536.54,254,7931.64,236,47919.49,1426,4100.19,122,15550.5,463,171697.54,5102,-150.48,-300.96,-2123.44,-1972.96,-11921.36,-1019.92,-3870.68,-42652.72,-28.81,-143.92,-573.79,-458.68,-3523.83,-257.97,-1207.15,-11494.36,-108.25,-216.4,-1522.92,-1414.77,-8549.59,-731.18,-2774.38,-30504.39,-60.84,-121.68,-858.52,-797.68,-4819.88,-412.36,-1564.94,-17085.68,,,-103.46,-103.46,-333.32,,-104.43,-1016.18,,,15.87,15.87,64.71,15.87,31.74,384.28,-35.47,-129.72,-842.19,-747.94,-5144.63,-345.5,-1529.77,-13550.35,-2.13,-6.23,-42.24,-38.14,-219.05,-19.45,-82.71,-219.05,219.28,291.25,2485.85,2413.88,13472.54,1329.68,4448.18,55559.09
banbaloo,eu,amazon.de,de,2022-03-13,2022-10,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,571.33,EUR,571.33,17,3965.47,118,8536.54,254,7326.38,218,47314.23,1408,3965.47,118,15583.82,464,171625.64,5100,-142.12,-986.48,-2123.44,-1822.48,-11770.88,-986.48,-3879.04,-42636,,-257.97,-573.79,-429.87,-3495.02,-257.97,-1235.96,-11465.55,-101.34,-706.98,-1522.92,-1306.52,-8441.34,-706.98,-2780.23,-30492.14,-57.46,-398.84,-858.52,-736.84,-4759.04,-398.84,-1568.32,-17076.36,,-96.95,-103.46,-103.46,-333.32,-96.95,-104.43,-1016.18,,15.87,15.87,15.87,64.71,15.87,31.74,384.28,-62.83,-347.37,-842.19,-712.47,-5109.16,-347.37,-1563.22,-13527.77,-2.84,-19.08,-42.24,-36.01,-216.92,-19.08,-84.08,-216.92,204.74,1167.67,2485.85,2194.6,13253.26,1167.67,4400.28,55579
banbaloo,eu,amazon.de,de,2022-03-12,2022-10,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,571.36,EUR,571.36,17,3965.47,118,8536.54,254,6755.05,201,46742.9,1391,3931.89,117,15516.64,462,171390.4,5093,-142.12,-986.48,-2123.44,-1680.36,-11628.76,-978.12,-3862.32,-42577.48,-56.98,-257.97,-573.79,-429.87,-3495.02,-257.97,-1235.96,-11465.55,-102.05,-706.98,-1522.92,-1205.18,-8340,-701.64,-2768.89,-30450.8,-57.46,-398.84,-858.52,-679.38,-4701.58,-395.46,-1561.56,-17051.1,,-96.95,-103.46,-103.46,-333.32,-96.95,-104.43,-1016.18,,15.87,15.87,15.87,64.71,15.87,31.74,384.28,-52,-347.37,-842.19,-649.64,-5046.33,-359.9,-1538.72,-13473.18,-3.25,-19.08,-42.24,-33.17,-214.08,-18.86,-83.27,-214.08,157.5,1167.67,2485.85,1989.86,13048.52,1138.86,4393.23,55526.31
banbaloo,eu,amazon.de,de,2022-03-11,2022-10,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,806.63,EUR,806.63,24,3965.47,118,8536.54,254,6183.69,184,46171.54,1374,3999.07,119,15281.37,455,171221.24,5088,-200.64,-986.48,-2123.44,-1538.24,-11486.64,-994.84,-3803.8,-42535.68,,-257.97,-573.79,-372.89,-3438.04,-200.99,-1265.41,-11464.77,-143.95,-706.98,-1522.92,-1103.13,-8237.95,-712.78,-2726.89,-30420.75,-81.12,-398.84,-858.52,-621.92,-4644.12,-402.22,-1537.9,-17032.28,,-96.95,-103.46,-103.46,-333.32,-96.95,-104.43,-1016.18,,15.87,15.87,15.87,64.71,15.87,31.74,384.28,-55.01,-347.37,-842.19,-597.64,-4994.33,-376.38,-1523.08,-13430.9,-3.4,-19.08,-42.24,-29.92,-210.83,-19.21,-82.25,-210.83,322.51,1167.67,2485.85,1832.36,12891.02,1211.57,4269.35,55494.13
banbaloo,eu,amazon.de,de,2022-03-10,2022-10,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,570.96,EUR,570.96,17,3965.47,118,8536.54,254,5377.06,160,45364.91,1350,3696.59,110,15113.29,450,170715.41,5073,-142.12,-986.48,-2123.44,-1337.6,-11286,-919.6,-3762,-42410.28,-28.81,-257.97,-573.79,-372.89,-3438.04,-229.8,-1380.43,-11493.58,-102.4,-706.98,-1522.92,-959.18,-8094,-658.98,-2697.04,-30330.8,-57.46,-398.84,-858.52,-540.8,-4563,-371.8,-1521,-16980.14,,-96.95,-103.46,-103.46,-333.32,-96.95,-104.43,-1016.18,,15.87,15.87,15.87,64.71,15.87,31.74,384.28,-56.97,-347.37,-842.19,-542.63,-4939.32,-370.69,-1544.95,-13383.16,-3.2,-19.08,-42.24,-26.52,-207.43,-18.52,-83.19,-207.43,180,1167.67,2485.85,1509.85,12568.51,1046.12,4051.99,55278.12
banbaloo,eu,amazon.de,de,2022-03-09,2022-10,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,369.7,EUR,369.7,11,3965.47,118,8536.54,254,4806.1,143,44793.95,1333,3797.82,113,15046.4,448,170614.43,5070,-91.96,-986.48,-2123.44,-1195.48,-11143.88,-944.68,-3745.28,-42385.2,-143.37,-257.97,-573.79,-344.08,-3409.23,-287.1,-1380.43,-11493.58,-65.04,-706.98,-1522.92,-856.78,-7991.6,-676.68,-2685.04,-30312.4,-37.18,-398.84,-858.52,-483.34,-4505.54,-381.94,-1514.24,-16967.76,,-96.95,-103.46,-103.46,-333.32,-96.95,-104.43,-1016.18,15.87,15.87,15.87,15.87,64.71,15.87,31.74,384.28,-31.68,-347.37,-842.19,-485.66,-4882.35,-385.39,-1537.65,-13337.55,-1.7,-19.08,-42.24,-23.32,-204.23,-18.73,-82.36,-204.23,14.64,1167.67,2485.85,1329.85,12388.51,1022.22,4028.71,55281.81
banbaloo,eu,amazon.de,de,2022-03-08,2022-10,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,604.95,EUR,604.95,18,3965.47,118,8536.54,254,4436.4,132,44424.25,1322,4133.91,123,15215.09,453,170745.01,5074,-150.48,-986.48,-2123.44,-1103.52,-11051.92,-1028.28,-3787.08,-42418.64,,-257.97,-573.79,-200.71,-3265.86,-200.71,-1294.42,-11379.02,-108.15,-706.98,-1522.92,-791.74,-7926.56,-737.74,-2714.13,-30337.36,-60.84,-398.84,-858.52,-446.16,-4468.36,-415.74,-1531.14,-16978.88,,-96.95,-103.46,-103.46,-333.32,-96.95,-104.43,-1016.18,,15.87,15.87,,48.84,,15.87,368.41,-51.54,-347.37,-842.19,-453.98,-4850.67,-424.23,-1567.6,-13317.96,-2.93,-19.08,-42.24,-21.62,-202.53,-19.92,-83.55,-202.53,231.01,1167.67,2485.85,1315.21,12373.87,1210.34,4148.61,55462.85
banbaloo,eu,amazon.de,de,2022-03-07,2022-10,2022-03,5Y-8TNB-GV76,B07JJP7S3Q,banbaloo,EUR,470.54,EUR,470.54,14,3965.47,118,8536.54,254,3831.45,114,43819.3,1304,3831.45,114,15349.57,457,170609.49,5070,-117.04,-986.48,-2123.44,-953.04,-10901.44,-953.04,-3820.52,-42385.2,-28.81,-257.97,-573.79,-200.71,-3265.86,-200.71,-1351.64,-11436.64,-84.05,-706.98,-1522.92,-683.59,-7818.41,-683.59,-2737.07,-30313.21,-47.32,-398.84,-858.52,-385.32,-4407.52,-385.32,-1544.66,-16963.12,-96.95,-96.95,-103.46,-103.46,-333.32,-103.46,-104.43,-1016.18,,15.87,15.87,,48.84,,15.87,368.41,-37.34,-347.37,-842.19,-402.44,-4799.13,-402.44,-1578.03,-13277.77,-1.76,-19.08,-42.24,-18.69,-199.6,-18.69,-83.83,-199.6,57.27,1167.67,2485.85,1084.2,12142.86,1084.2,4145.26,55386.18
